cycle_number,midterm_year,nominal_entry,nominal_exit,resolved_entry,resolved_exit,entry_shift_days,exit_shift_days,entry_close,exit_close,return_pct,mae_close_pct,mae_close_date,mae_intraday_pct,mae_intraday_date,calendar_days_held,trading_days_held,tradewave_display_mfe_pct,tradewave_display_mae_pct,tradewave_mae_basis
1,1930,1930-09-27,1931-07-18,1930-09-29,1931-07-20,2,2,18.8800,14.4600,-23.4110,-35.3814,1931-06-02,,,295,203,2.8600,-35.3800,close
2,1934,1934-09-27,1935-07-18,1934-09-27,1935-07-18,0,0,9.1800,10.6600,16.1220,-12.2004,1935-03-14,,,295,200,16.2300,-12.2000,close
3,1938,1938-09-27,1939-07-18,1938-09-27,1939-07-18,0,0,10.9900,12.1600,10.6460,-5.1865,1939-04-11,,,295,200,26.5700,-5.1900,close
4,1942,1942-09-27,1943-07-18,1942-09-28,1943-07-19,1,1,8.8900,12.5500,41.1699,-0.4499,1942-09-29,,,295,200,42.1800,-0.4500,close
5,1946,1946-09-27,1947-07-18,1946-09-27,1947-07-18,0,0,15.1100,15.8500,4.8974,-8.8683,1947-05-19,,,295,202,6.8200,-8.8700,close
6,1950,1950-09-27,1951-07-18,1950-09-27,1951-07-18,0,0,19.4100,21.8800,12.7254,-2.1123,1950-12-04,,,295,201,17.5200,-2.1100,close
7,1954,1954-09-27,1955-07-18,1954-09-27,1955-07-18,0,0,32.5300,42.3600,30.2183,-2.6130,1954-10-29,,,295,204,32.7400,-2.6100,close
8,1958,1958-09-27,1959-07-18,1958-09-29,1959-07-20,2,2,49.8700,58.9100,18.1271,0.0000,1958-09-29,,,295,203,20.3700,0.2200,close_unfloored
9,1962,1962-09-27,1963-07-18,1962-09-27,1963-07-18,0,0,55.7700,68.4900,22.8080,-4.0882,1962-10-23,-5.7737,1962-10-24,295,203,27.7400,-5.7700,intraday
10,1966,1966-09-27,1967-07-18,1966-09-27,1967-07-18,0,0,78.1000,93.5000,19.7183,-6.2740,1966-10-07,-7.4520,1966-10-10,295,203,21.9600,-7.4500,intraday
11,1970,1970-09-27,1971-07-18,1970-09-28,1971-07-19,1,1,83.9100,98.9300,17.9001,-1.3348,1970-11-18,-2.0021,1970-11-19,295,204,25.8500,-2.0000,intraday
12,1974,1974-09-27,1975-07-18,1974-09-27,1975-07-18,0,0,64.9400,93.2000,43.5171,-4.0961,1974-10-03,-6.1287,1974-10-04,295,204,48.7200,-6.1300,intraday
13,1978,1978-09-27,1979-07-18,1978-09-27,1979-07-18,0,0,101.6600,101.6900,0.0295,-9.0203,1978-11-14,-9.8465,1978-10-30,295,204,4.5000,-9.8500,intraday
14,1982,1982-09-27,1983-07-18,1982-09-27,1983-07-18,0,0,123.6200,163.9500,32.6242,-2.5886,1982-09-30,-2.8151,1982-09-30,295,205,38.8100,-2.8200,intraday
15,1986,1986-09-27,1987-07-18,1986-09-29,1987-07-20,2,2,229.9100,311.3900,35.4400,0.0000,1986-09-29,-0.7960,1986-09-29,295,204,36.8300,0.0000,close
16,1990,1990-09-27,1991-07-18,1990-09-27,1991-07-18,0,0,300.9700,385.3700,28.0427,-1.8307,1990-10-11,-2.1464,1990-10-11,295,204,30.0000,-2.1500,intraday
17,1994,1994-09-27,1995-07-18,1994-09-27,1995-07-18,0,0,462.0500,558.4600,20.8657,-3.5927,1994-12-08,-4.1489,1994-12-09,295,204,21.8400,-4.1500,intraday
18,1998,1998-09-27,1999-07-18,1998-09-28,1999-07-19,1,1,1048.6899,1407.6500,34.2294,-8.5106,1998-10-08,-11.9549,1998-10-08,295,203,35.4400,-11.9500,intraday
19,2002,2002-09-27,2003-07-18,2002-09-27,2003-07-18,0,0,827.3700,993.3200,20.0575,-6.1170,2002-10-09,-7.0996,2002-10-10,295,203,22.7300,-7.1000,intraday
20,2006,2006-09-27,2007-07-18,2006-09-27,2007-07-18,0,0,1336.5900,1546.1700,15.6802,-0.3943,2006-10-02,-0.7100,2006-10-03,295,202,16.4100,-0.7100,intraday
21,2010,2010-09-27,2011-07-18,2010-09-27,2011-07-18,0,0,1142.1600,1305.4399,14.2957,-0.4491,2010-10-04,-0.9009,2010-10-04,295,204,20.0000,-0.9000,intraday
22,2014,2014-09-27,2015-07-18,2014-09-29,2015-07-20,2,2,1977.8000,2128.2800,7.6085,-5.8302,2014-10-15,-7.9452,2014-10-15,295,203,7.9300,-7.9500,intraday
23,2018,2018-09-27,2019-07-18,2018-09-27,2019-07-18,0,0,2914.0000,2995.1101,2.7835,-19.3171,2018-12-24,-19.4722,2018-12-26,295,202,3.5600,-19.4700,intraday
24,2022,2022-09-27,2023-07-18,2022-09-27,2023-07-18,0,0,3647.2900,4554.9800,24.8867,-1.9264,2022-10-12,-4.2692,2022-10-13,295,202,25.0900,-4.2700,intraday
